title,abstract,structured_text,Accuracy,Completeness
Detecting crew alertness with processed speech,"This paper proposes a solution for improving the safety of rail and other mass transportation systems through operator alertness monitoring. A non-invasive method of alertness monitoring through speech processing is presented. Speech analysis identifies measurable vocal tract changes due to fatigue and decreased speech rate due to decreased mental ability. Enabled by existing noise reduction technology, a system has been designed for measuring key speech features that are believed to correlate to alertness level. The features of interest are pitch, word intensity, pauses between words and phrases, and word rate. The purpose of this paper is to describe the overall alertness monitoring system design and then to show some experimental results for the core processing algorithm which extracts features from the speech. The feature extraction algorithm proposed here uses a new and simple technique to parse the continuous speech signal coming from the communication signal without using computationally demanding and error-prone word recognition techniques. Preliminary results on the core feature extraction algorithm indicate that words, phrases, and rates can be determined for relatively noise-free speech signals. Once the remainder of the overall alertness monitoring system is complete, it will be applied to real life recordings of train operators and will be subjected to clinical testing to determine alert and non-alert levels of the speech features of interest.","{'operator type': ['crew'], 'data acquisition methods': ['speech analysis']}",9,8
Real-Time Vision Based Driver Drowsiness Detection Using Partial Least Squares Analysis,"Robust eye state classification in real-time is very crucial for automatic driver drowsiness detection to avoid road accidents. In this paper, we propose partial least squares (PLS) analysis based eye state classification method and its real-time implementation on resource constraint digital video processor platform, to monitor the eye state during all time driving conditions. The drowsiness is detected using percentage of eye closure (PERCLOS) metric. In this approach, face in the infrared (IR) image is detected using Haar features based cascaded classifier and within the face, eye is detected. For binary eye state classification, PLS analysis is applied to obtain the low dimensional discriminative subspace, within which simple PLS regression score based classifier is used to classify test vector into open and closed. We compared our algorithm to recent methods on challenging test sequences and the result shows superior performance. The results obtained during on-vehicle testing show that the proposed system achieves significant improvement in classification accuracy at nearly 3 frames per second.","{'operator type': ['driver'], 'data acquisition methods': ['eye tracking']}",5,5
Eye Metrics: An Alternative Vigilance Detector for Military Operators,"Military operators in various environments such as cyber, remotely piloted aircraft, and image analysis are required to use sustained attention or vigilance for long periods. During this time they encounter lapses in attention attributable to the monotonous nature of their tasks. Mistakes during these tasks can have serious consequences. The purpose of this study was to investigate the use of an eye-tracker to detect changes in vigilance performance during a simulated cyber operator task. Twenty participants performed 4 sessions of a 40-min vigilance task while wearing an eye-tracker. Blink frequency, blink duration, PERCLOS (percentage of eye closure), pupil diameter, pupil eccentricity, pupil velocity, and signal detection all had a significant change over time (p < .05) during the task. The significant change of oculometric measurements indicates oculometrics could be used to detect changes in vigilance for military operators. Future research is needed to assess real-time effects of these oculometrics on performance, especially in a real-world setting.","{'operator type': ['operator'], 'data acquisition methods': ['eye tracking']}",8,6
Nonlinear Analysis of Driver's Heart Rate Variability on the Prairie Highway,"The nonlinear analysis of HRV index can effectively evaluate the drivers' mental and physiological stress reaction during driving. By collecting drivers' ECG signal on the Prairie Highway and based on nonlinear analysis of HRV, it is found the drivers' Correlation Dimension (D-2) changes significantly and has a strong negative correlation with driving time, and the regression model under the Prairie Highway environment has been built in this paper. Combining the difference test between the dynamic and static index, the study has concluded drivers' sympathetic nerve activity decrease after continuous driving for 30min, and D-2 is 2.034-2.593 after 110min.The complexity of drivers' autonomic nervous system and the adjust ability of adapting to the environment decrease significantly on the Prairie Highway. These will offer the theoretical basis for monitoring driver fatigue and designing Prairie Highway.","{'operator type': ['driver'], 'data acquisition methods': ['ecg']}",7,6
Drowsiness and Emotion Detection of Drivers for Improved Road Safety,"Often resulting in fatalities and serious injuries, drowsy driving is a key contributing factor in collisions. Drivers who are irritable or disturbed are more likely to be involved in accidents. Identifying symptoms of exhaustion and negative emotions may facilitate taking preventative measures before an accident occurs. By identifying and responding to the driver's state, cars equipped with sophisticated technology such as drowsiness and emotion detection aim to enhance the driving experience. With the use of machine learning algorithms, these cars can accurately read facial expressions to determine the driver's drowsiness and emotion. The technology may alter the vehicle's behaviour and user interface in response to the driver's state, making driving safer and more personalised. To detect driver's drowsiness different approaches are taken in this experiment such as the use of Basic CNN, ResNet50, VGG16, VGG19 and InceptionV3. Among them InceptionV3 has given 100% accuracy in the process of detecting drowsy drivers for yawn eye dataset new. In case of NITYMED dataset where video data were used, Resnet50 produced 100% accuracy. We have used InceptionV3 for detecting driver's emotion for FER2013 Dataset, which has given 68.02% accuracy. We conducted a survey on drivers regarding what affects them at the time of driving and whether a continuous monitoring system will help them or not. Almost everyone agreed on having a monitoring system for road safety.","{'operator type': ['driver'], 'data acquisition methods': ['facial expression analysis']}",6,5
EEG-Based Index for Timely Detecting User's Drowsiness Occurrence in Automotive Applications,"Human errors are widely considered among the major causes of road accidents. Furthermore, it is estimated that more than 90% of vehicle crashes causing fatal and permanent injuries are directly related to mental tiredness, fatigue, and drowsiness of the drivers. In particular, driving drowsiness is recognized as a crucial aspect in the context of road safety, since drowsy drivers can suddenly lose control of the car. Moreover, the driving drowsiness episodes mostly appear suddenly without any prior behavioral evidence. The present study aimed at characterizing the onset of drowsiness in car drivers by means of a multimodal neurophysiological approach to develop a synthetic electroencephalographic (EEG)-based index, able to detect drowsy events. The study involved 19 participants in a simulated scenario structured in a sequence of driving tasks under different situations and traffic conditions. The experimental conditions were designed to induce prominent mental drowsiness in the final part. The EEG-based index, so-called MDrow index, was developed and validated to detect the driving drowsiness of the participants. The MDrow index was derived from the Global Field Power calculated in the Alpha EEG frequency band over the parietal brain sites. The results demonstrated the reliability of the proposed MDrow index in detecting the driving drowsiness experienced by the participants, resulting also more sensitive and timely sensible with respect to more conventional autonomic parameters, such as the EyeBlinks Rate and the Heart Rate Variability, and to subjective measurements (self-reports).","{'operator type': ['driver'], 'data acquisition methods': ['eeg']}",6,5
Surveillance System for Abnormal Driving Behavior Detection,"The objective of this research is to detect abnormal car driving behaviors that may result in accidents. The behaviors include exhaustion from driving for a long time, taking eyes off the road, and the abnormal eye-blink from the sleepiness. The researchers are interested to develop a mobile application that analyzes car driving behaviors using a face detection algorithm. Our application is easy to install and to use on any Android based smartphone. Concretely, our mobile application considers three factors: (1) time of driving; (2) abnormal eye-blinking; and (3) taking eyes off the road. We integrate these factors with the acceleration of the driving vehicle to analyze and calculate abnormality level. Therefore, we send a voice notification to the driver when the calculated abnormality level exceeds 10. We perform experiments and experimental results show that our mobile application is feasible in realistic situations.","{'operator type': ['driver'], 'data acquisition methods': ['time of driving', 'abnormal eye-blinking', 'taking eyes off the road', 'acceleration of the driving vehicle']}",10,8
Advancing Road Safety: A CNN-Based Semi-Supervised Learning Approach for Drivers' Drowsiness Detection,"The National Safety Council (NSC) has reported that each year, driver fatigue is responsible for 100,000 accidents, 71,000 injuries, and 1,550 fatalities, often manifesting as drowsiness. Most current systems fail to anticipate accidents beforehand, focusing primarily on external factors. This paper introduces a novel drowsiness detection framework aimed at reducing accidents caused by drivers dozing off behind the wheel and minimizing harm to individuals engaged in prolonged computer use. The proposed method leverages a Convolutional Neural Network (CNN) with a semi-supervised learning technique, setting it apart from existing approaches. The effectiveness of our approach is evaluated using the UTA-RLDD video dataset, and the results demonstrate that the proposed method outperforms state-of-the-art methods, achieving 99.98% accuracy.","{'operator type': ['driver'], 'data acquisition methods': ['video-based']}",9,6
Drowsy driver detection through facial movement analysis,"The advance of computing technology has provided the means for building intelligent vehicle systems. Drowsy driver detection system is one of the potential applications of intelligent vehicle systems. Previous approaches to drowsiness detection primarily make preassumptions about the relevant behavior, focusing on blink rate, eye closure, and yawning. Here we employ machine learning to datamine actual human behavior during drowsiness episodes. Automatic classifiers for 30 facial actions from the Facial Action Coding system were developed using machine learning on a separate database of spontaneous expressions. These facial actions include blinking and yawn motions, as well as a number of other facial movements. In addition, head motion was collected through automatic eye tracking and an accelerometer. These measures were passed to learning-based classifiers such as Adaboost and multinomial ridge regression. The system was able to predict sleep and crash episodes during a driving computer game with 96% accuracy within subjects and above 90% accuracy across subjects. This is the highest prediction rate reported to date for detecting real drowsiness. Moreover, the analysis revealed new information about human behavior during drowsy driving.","{'operator type': ['driver'], 'data acquisition methods': ['facial movement analysis', 'eye tracking', 'accelerometer']}",9,9
Detecting method for drivers' drowsiness applicable to individual features,It is inevitable for driver assist and warning systems to consider the drivers' state of consciousness. Drowsiness is one of the important factors in estimating the drivers' state of consciousness. A method to extract the driver's initial stage of drowsiness was developed by means of the blink measurement irrelevant to the surrounding brightness and individual characteristics with motion pictures processing. The result was that an increase of the long eyelid closure time was the key factor in estimating the initial stage of drivers' drowsiness while driving. And the state of drowsiness could. be presumed by checking the frequencies of long eyelid closure time per unit period.,"{'operator type': ['driver'], 'data acquisition methods': ['eye tracking']}",8,6
Evaluatıng osa rısk in drıvers: polysomnography and anthropometric measurements,"Background Sleepiness significantly contributes to traffic accidents, with obstructive sleep apnea syndrome (OSA) being the leading medical cause. Effective treatment of OSA has been shown to reduce accident-related deaths and injuries. Turkish legislation has been updated to address driver's license issues for individuals with OSA, but implementation challenges and debates persist. Methods Data from 159 patients who applied to obtain or renew their driver's licenses and underwent polysomnography between January 2020 and January 2024 were evaluated retrospectively. Results The body mass index of 126 patients (79.24%) exceeded 33 kg per meter of height squared. OSA (apnea hypopnea index greater than 5) was detected in 85.5% of our patients, and the rate of severe OSA was 31.4%. We evaluated the presence of severe OSA using logistic regression analysis. Among the variables, the most important factor was neck circumference Receiver operating characteristic curve analysis identified severe OSA risk thresholds as neck circumference of 42.5 cm or greater and waist circumference of 122 cm or greater. Conclusions Considering neck and waist circumference rather than body mass index may facilitate informed decisions based on empirical measurements to identify OSA in driver's license applicants who require overnight polysomnography assessment.","{'operator type': ['driver'], 'data acquisition methods': ['polysomnography', 'anthropometric measurements']}",9,8
Driver Drowsiness Detection System Based on Binary Eyes Image Data,"In this paper, driver drowsiness detection algorithm based on the state of eyes of the driver which is determined by his iris visibility has been implemented. If eyes remain in one state either open or closed longer than expected time as well as if the driver is not looking straight front, it is an indication that driver is drowsy and then the system warns the driver. System is capable of detecting the state of eyes with or without the regular glasses. Matlab with image processing tools has been used to process the image provided by a camera. Matlab creates System Object using Viola_Jones algorithm to detect the objects such as nose, mouth or upper body. After capturing an image, rectangular eyes area was adjusted to reduce the noise. RGB to Gray scale and finally to Binary image conversion is with a suitable threshold value. A median filter was used to reduce the noise and then the image was smoothened. The drowsiness detection is done based on the conditions like Black to White pixels ratio, number of pixels in the column greater than the threshold value and eye's shape. Light and position of the driver plays an important role. System can be set to self-learn at startup to setup threshold values.","{'operator type': ['driver'], 'data acquisition methods': ['eye image data', 'facial features detection']}",7,6
Application Heart Rate Variability to Driver Fatigue Detection of Dangerous Chemicals Vehicles,"For fatigue monitoring issues, this paper proposes the idea that detects the heart rate volatility to determine whether the driver is in a state of fatigue, and the method is to comprehensively analyze the standard deviation which obtains by the feedback-monitoring historical data of heart rate fluctuation, then determine whether the driver in the day Time is excited in the paragraphs or tired in the paragraphs. Finally, the development of vehicle monitoring system of dangerous goods transport based on GPS/3G/ArcGIS apply research results, and access to the optimal solution of the driver scheduling. An application shows that detecting the heart rate variability to determine if the driver is tired is of practical significance, and it is well used in the design of monitoring system for dangerous goods transport vehicles.","{'operator type': ['driver'], 'data acquisition methods': ['heart rate variability']}",8,7
RealD3: A Real-time Driver Drowsiness Detection Scheme Using Machine Learning,"Drowsiness has become a major problem in people's lives, resulting in ineffective work or traffic accidents. Every year the rate of injuries and accidents increases due to the drowsiness of drivers around the world. Therefore, developing a real-time driver drowsiness detection system is a current necessity. This paper presents a real-time driver drowsiness detection scheme (RealD3) that uses advanced machine learning algorithms for prediction. The main aim of this work is to detect and analyze the facial structure and objects in the frame. To capture the driver's face, a camera-based video-capturing mechanism is used. Mediapipe face mesh 468 and YOLO (You Only Look Once) are used for detecting landmarks and facial features in the frame, respectively. Once face, landmark, and facial features (such as Eye Aspect Ratio (EAR), Mouth Aspect Ratio (MAR), Hands on Mouth, and if sunglasses are worn or not) get detected, PERCLOS is used for classifying if the driver is drowsy or simply blinking. An alert is given to the driver when the EAR and MAR values are less than the threshold value and YOLO detects drowsiness based on the facial features. The real-time experimental results show that the proposed method is highly accurate and advanced, with an overall accuracy of about 94% in detecting drowsiness and identifying objects in the frame.","{'operator type': ['driver'], 'data acquisition methods': ['facial structure detection', 'eye aspect ratio (ear)', 'mouth aspect ratio (mar)', 'hands on mouth', 'sunglasses detection', 'facial landmarks detection', 'object detection']}",8,9
Considerations in Physiological Metric Selection for Online Detection of Operator State: A Case Study,"The development of closed-loop systems is fraught with many challenges. One of the many important decisions to be made in this development is the selection of suitable metrics to detect operator state. Successful metrics can inform adaptations in an interface's design, features, or task elements allocated to automated systems. This paper will discuss various challenges and considerations involved in the selection of metrics for detecting fatigue in operators of unmanned aerial vehicles (UAVs). Using Eggemeier and colleague's guidelines for workload metric selection as a basis, we review several criteria for metric selection and how they are applied to selection of metrics designed to assess operator fatigue in an applied closed-loop system.","{'operator type': ['operator'], 'data acquisition methods': ['none']}",9,6
METHODOLOGICAL APPROACH TO FATIGUE RISK MITIGATION IN FLIGHT OPERATIONS,"Paper presents methodology of fatigue risk management through assessment methods and tools and applicative mitigation measures. The research has been targeted towards objectification of the crew fatigue on the sample of flight operations and results interpretation of referent indicators measuring. The crew fatigue is measured using Complex Reactionmeter Drenovac (CRD) device, which records the results of tests solved by pilots in various work conditions. The results are converted in several key indicators, and fatigue is derived from obtained indicators' values. The analysis of the obtained results is conducted using the One Way ANOVA (Analysis of Variance) method by software Statistica 10. Furthermore, the safety risk assessment is conducted for obtained results, which shows the level of risk implicated by crew fatigue. As a conclusion, the recommendations are given for fatigue risk mitigation related to concrete research sample.","{'operator type': ['crew'], 'data acquisition methods': ['complex reactionmeter drenovac (crd)']}",6,5
Eye location in face images for driver fatigue monitoring,"For a driver fatigue monitoring system one of the most important problem to solve is e ye location. This paper presents an efficient approach to achieve fast and accurate eye location in gray level images. The structure of eye region is used as a robust cue to find possible eye pairs. Candidates of eye pair at different scales are selected by finding regions which roughly match with the binary eye pair template. To obtain real one, all the eye pair candidates are then verified by using support vector machines (SVMs). Eyes are finally located, which is the basis of the eyes states analysis (open or closed). The proposed method is robust to deal with illumination changes, moderate rotations, glasses wearing and different eye states. Experimental results demonstrate its effectiveness..","{'operator type': ['driver'], 'data acquisition methods': ['eye tracking']}",7,5
Real-Time Driver Drowsiness Detection and Classification on Embedded Systems Using Machine Learning Algorithms,"Traffic accidents caused by driver drowsiness are a significant concern. An automatic, contactless device capable of early detection and identification of a driver's drowsy state could greatly enhance their safety. This study presents a real-time driver drowsiness detection and classification system implemented on Jetson Nano and Jetson TX2 embedded systems using machine learning algorithms, including Logistic Regression, Naive Bayes, K -Nearest Neighbors (KNN), Decision Tree, Random Forest, and Multi-Layer Perceptron (MLP). Feature extraction is performed on images obtained from video segments within the dataset, followed by a normalization process. The normalized features are classified using machine learning algorithms, and the results are reported. A 10-fold cross-validation model is employed during the experiment, and the grid search hyperparameter optimization (GSHPO) method is used to fine-tune the classifier algorithms' parameters for the proposed system. The MLP classifier outperformed the other classifiers, achieving an accuracy, F1 -score, and AUC (the area under the receiver operating characteristic curve (ROC)) of 0.91, 0.91, and 0.90, respectively. The developed system is implemented on Jetson Nano and Jetson TX2 embedded systems, and the frames per second (FPS) results are provided for comparison. The high accuracy of this hardware-based system in detecting drowsy driving, along with its portability for in-vehicle use, is a critical aspect of this work.","{'operator type': ['driver'], 'data acquisition methods': ['video-based']}",7,6
GAN-based EEG Forecasting for Attaining Driving Operations,"In the domain of connected vehicles or advanced driver assistance systems, electroencephalogram (EEG) data is measured in vehicles and used for applications in driver safety. These analysis modules are designed to detect abnormal driver states such as drowsiness, fatigue, and dangerous driving by using EEG data in real-time on edge devices since these conditions reflect a driver's current cognitive state. However, there are few approaches to forecasting EEG data to prevent dangerous driving in advance using recent deep learning techniques. In this paper, we propose a novel generative adversarial network (W-GAN) which aims to forecast EEGs as a multivariate multi-step times series data. It consists of dilated causal convolutional layers to maintain EEG characteristics. We also propose a new performance measure reflecting the reproducibility of frequency components which confirms the feasibility of the forecasted EEG data. We conducted an experiment to evaluate our proposed model using EEG analysis research data. In the experiment, it was shown that our model outperformed several deep learning models in reproducibility of both EEG waveform and frequency components.","{'operator type': ['driver'], 'data acquisition methods': ['eeg']}",10,9
Study on human behavior and skill in manual drilling operation,"In many manufactures, one of the desirable manufacturing systems is the one in which human operator and machinery are reasonably complementary to each other. In order to realize the system, it is indispensable to investigate the operator's behavior from the viewpoints of operating efficiency, accuracy, physical safety, fatigue, etc. In this research, the behavior and skill in small-hole drilling has been quantitatively evaluated and their relationship has been discussed. The behavior has been evaluated by operational and physiological measurements such as operator's body motion, cutting force, blood pulse period, respiration period, electromyogram of forehead, critical flicker fusion frequency, etc. The skill has been evaluated from task time, task error and tool breakage. The experimental results showed that there are strong correlations between the behavior measurements and skill level. It was also confirmed that the skilled operators make their body movement small, and keep their respiration rate low and constant. In addition, it was found from multiple regression analysis that the operator's fatigue can be nearly estimated from the body movement, fluctuation of cutting force, hand wheel rotation speed, respiration period, etc.","{'operator type': ['operator'], 'data acquisition methods': ['body motion', 'cutting force', 'respiration period', 'electromyogram', 'critical flicker fusion frequency']}",8,5
