title,abstract,correlations
The development of 'Make One Small Change': an e-health intervention for the workplace developed using the Person-Based Approach,"Background The application of digital health interventions is widespread and many employers are implementing employee e-health programs. Intended to enhance productivity by increasing wellbeing, workplace interventions often lack evidence of effectiveness and have low rates of retention. Use of the person-based approach (PBA) is one solution, which offers a systematic framework for developing effective digital health interventions. This paper describes the application of the PBA to the development of 'Make one small change' (Cigna MSC (TM)), an online behaviour change system for lifestyle habits focused on resilience, movement, eating and sleep. Method and results The development of Cigna MSC (TM) took place over four stages with colleagues (n = 79) across Cigna globally. Application of the PBA entailed using high amounts of qualitative data to inform development and a cyclical process of 'listening, applying and delivering' was adhered to throughout. Early stages involved review of current literature and the collection of feedback in relation to existing interventions. Combined, results revealed key intervention development issues that were then used to form guiding principles. Guiding principles ensured intervention objectives translated into relevant design features. The final stages of evaluation included testing images, text and content approaches. Feedback dictated that the intervention should be fun, easy to use and include milestones for self-monitoring. The resulting version was finalised and made ready to pilot so future analysis can be made in relation to real-world engagement and the embedded evaluative content can be used to provide evidence of intervention effectiveness. Conclusions Using the PBA, which was evolved specifically to improve development of digital interventions, resulted in a workplace intervention embedded with in-depth user input combined with evidenced-based theory. This paper illustrates how using a rigorous methodology can drive the creation of an effective digital health intervention that uniquely allows for refinement at each stage.",0
Effect of Positive Airway Pressure Therapy on Drowsy Driving in a Large Clinic-Based Obstructive Sleep Apnea Cohort,"Study Objectives: Drowsy driving related to obstructive sleep apnea (OSA) represents an important public health problem with limited data on the effect of positive airway pressure (PAP) therapy. We hypothesize that PAP therapy will reduce self-reported drowsy driving in a large clinic-based OSA cohort.Methods: Drowsy driving (self-reported near-accidents/accidents) incidents from baseline to after PAP therapy (stratified by adherence) were compared in a cohort of 2,059 patients with OSA who initiated PAP therapy from January 1, 2010 to December 31, 2014. Multivariable logistic regression models evaluated the dependence of change in drowsy driving incidents on other factors, including change in Epworth Sleepiness Scale (ESS) and Patient Health Questionnaire-9 (PHQ9) scores.Results: In the entire cohort (age 56.0 +/- 13.1 years, 45.4% female, 76.0% white, average follow-up 124.4 +/- 67.3 days), drowsy driving incidents reduced from 14.2 to 6.9% after PAP therapy (P < .001). In subgroups, drowsy driving incidents reduced from 14% to 5.3% (P < .001) in patients who self-reported adherence to PAP therapy and 14.1% to 5.3% (P < .001) in patients objectively adherent to PAP therapy. For each one-point improvement in Epworth Sleepiness Scale score, the odds of drowsy driving decreased by about 14% (odds ratio 0.86, 95% confidence interval 0.82 to 0.90).Conclusions: In this clinic-based cohort, drowsy driving improved after adherent PAP usage, with greater drowsy driving risk for those with greater sleep propensity. This highlights the importance of and need for routine drowsy driving assessments and careful clinical attention to PAP adherence and sleep propensity in this population. Our findings should be confirmed and may be used to provide support for initiatives to address the public health issue of drowsy driving.",0
Development of an observational checklist for falling risk assessment of high-voltage transmission tower construction workers,"Falls from elevation have been reported to cause the highest number of fatalities in the Taiwan construction industry, accounting for 43.53% of all construction worker fatalities for the period from 2006 to 2015, inclusive. High-voltage transmission tower construction is a high-risk operation due to the construction site locations, extreme climatic factors, elevated working surfaces, and narrow working space. However, the factors contributing to the risk of falls in high-voltage transmission tower construction work have not been characterized. This paper describes the development and application of an observational checklist for assessing exposure to fall risks. Three contributing factors, movement, stability, and fall protection measures, were characterized based on the suggestions of ergonomic experts, interviews of supervisors and workers, and on-site observations. Inter observer reliability test results showed that inter-observer reliability of the observational checklist was acceptable to excellent. A pilot study assessing five primary construction operations suggested that position shifting, wherein workers were found to have frequent exposure to the whole-body movement level and spent the least time in a tied-off full body harness, was the operation with the highest fall risk. These results demonstrated that the observational checklist can be used to identify specific construction operations with fall hazards.",0
Pilot Fatigue Evaluation Based on Eye-Movement Index and Performance Index,"Flight fatigue has always been an important factor affecting flight safety, but how to control and identify the state of fatigue is still an unsolved problem. The aim of this study is to explore the changing rules of eye-movement indicator and performance indicator of pilots under fatigue state by building a fatigue model of task load to excite fatigue, so as to provide reference for fatigue identification and evaluation. Thirty participants attended the experiment, which was required to complete three sets of flight parameters dynamic monitoring and control mission of varying difficulty in a controlled laboratory environment. The eye-movement indicators (blink duration time, average saccade amplitude, average pupil diameter) and performance indicators (accuracy, response time) of 30 subjects were measured in three groups of tasks. The experimental results showed that the blink duration time, average saccade amplitude, average pupil diameter and response time were all significantly affected by fatigue, but the accuracy rate was not significantly affected. According to the analysis of experimental data, it is concluded that the blink duration time increases first and then decreases with the increase of fatigue degree. Saccade amplitude average decreased with the increase of fatigue degree. Pupil diameter size decreases gradually with fatigue degree. These eye-movement indexes show good significance and can be used as good indicators to identify and evaluate fatigue state. Fatigue degree also has a significant effect on the response time. When the task load exceeds a certain degree, the response time will increase exponentially, which seriously affects the operation speed of pilot. The experimental results have important reference significance for the identification and evaluation of pilot fatigue.",1
A pilot randomized controlled trial examining the impact of a sleep intervention targeting home routines on young children's (3-6 years) physical activity,"Background Given evidence suggesting that sleep impacts on metabolic processes, interventions targeting sleep may improve child physical activity (PA).Objectives To describe the potential effect of an intervention to increase sleep on young children's (3-6 years) moderate to vigorous PA (MVPA) and total PA. To determine adherence to the intervention, impact on sleep duration as well as feasibility, uptake and acceptability was also assessed.Methods Pilot randomized controlled trial with 76 parent-child dyads randomly allocated to an intervention (n = 38) or control group (n = 38). Parents in the intervention group received a 3-month theory-informed intervention consisting of an online video, a telephone call and two text messages. Child PA was assessed using accelerometers at baseline and approximately 3 months. Parents also completed a sleep log and a telephone interview.Results The consent rate was 41% (76/186). Estimated effect size for the intervention relative to control was 10.8 min/day for MVPA, 2.7 min/day for PA and 0.9 h for sleep. Sixteen (44%) parents accessed the video, and 18 (50%) received the telephone call. Over 40% of parents found the video and telephone call useful/very useful.Conclusions This study reports promising effects that an intervention targeting sleep may improve child MVPA and sleep duration. Some modifications to data collection methods and intervention delivery are needed.",0
Evaluating driver drowsiness countermeasures,"Objective: Driver drowsiness contributes to a substantial number of fatal and nonfatal crashes, with recent estimates attributing up to 21% of fatal crashes to drowsiness. This article describes recent NHTSA research on in-vehicle drowsiness countermeasures. Recent advances in technology and state detection algorithms have shown success in detecting drowsiness using a variety of data sources, including camera-based eye tracking, steering wheel position, yaw rate, and vehicle lane position. However, detection is just the first step in reducing drowsy driving crashes. Countermeasures are also needed to provide feedback to the driver, modify driver behavior, and prevent crashes. The goal of this study was to evaluate the effectiveness of in-vehicle drowsiness countermeasures in reducing drowsy lane departures. The tested countermeasures included different warning modalities in either a discrete or staged interface.Methods: Data were collected from 72 young adult drivers (age 21-32) in the high-fidelity full-motion National Advanced Driving Simulator. Drivers completed a 45-min simulated nighttime drive at 2 time points, late night and early morning, where drowsiness was manipulated by continuous hours awake. Forty-eight drivers were exposed to one of 6 countermeasures that varied along 2 dimensions, type and modality. The countermeasures relied on a steering-based drowsiness detection algorithm developed in prior NHTSA research. Twenty-four drivers received no countermeasure and were used as a baseline comparison. System effectiveness was measured by lane departures and standard deviation in lateral position (SDLP).Results: There was a reduction in drowsy lane departure frequency and lane position variability for drivers with countermeasures compared to the baseline no-countermeasure group. Importantly, the data suggest that multistage alerts, which provide an indication of increasing urgency, were more effective in reducing drowsy lane departures than single-stage discrete alerts, particularly during early morning drives when drivers were drowsier.Conclusions: The results indicate that simple in-vehicle countermeasures, such as an auditory-visual coffee cup icon, can reduce the frequency of drowsy lane departures in the context of relatively short drives. An important next step is to evaluate the impact of drowsiness countermeasures in the context of longer, multiple-hour drives. In these cases, it may not be possible to keep drivers awake via feedback warnings and it is important to understand whether countermeasures prompt drivers to stop to rest. The next phase of this research project will examine the role of drowsiness countermeasures over longer drives using a protocol that replicates the motivational conditions of drowsy driving.",1
Ubiquitin carboxy-terminal hydrolase-L1 as a serum neurotrauma biomarker for exposure to occupational low-level blast,"Repeated exposure to low-level blast is a characteristic of a few select occupations and there is concern that such occupational exposures present risk for traumatic brain injury. These occupations include specialized military and law enforcement units that employ controlled detonation of explosive charges for the purpose of tactical entry into secured structures. The concern for negative effects from blast exposure is based on rates of operator self-reported headache, sleep disturbance, working memory impairment, and other concussion-like symptoms. A challenge in research on this topic has been the need for improved assessment tools to empirically evaluate the risk associated with repeated exposure to blast overpressure levels commonly considered to be too low in magnitude to cause acute injury. Evaluation of serum-based neurotrauma biomarkers provides an objective measure that is logistically feasible for use in field training environments. Among candidate biomarkers, ubiquitin carboxy-terminal hydrolase-L1 (UCH-L1) has some empirical support and was evaluated in this study. We used daily blood draws to examine acute change in UCH-L1 among 108 healthy military personnel who were exposed to repeated low-level blast across a 2-week period. These research volunteers also wore pressure sensors to record blast exposures, wrist actigraphs to monitor sleep patterns, and completed daily behavioral assessments of symptomology, postural stability, and neurocognitive function. UCH-L1 levels were elevated as a function of participating in the 2-week training with explosives, but the correlation of UCH-L1 elevation and blast magnitude was weak and inconsistent. Also, UCH-L1 elevations did not correlate with deficits in behavioral measures. These results provide some support for including UCH-L1 as a measure of central nervous system effects from exposure to low-level blast. However, the weak relation observed suggests that additional indicators of blast effect are needed.",0
Sound in Time: An observational study to identify the sources of sound and their relative contribution to the sound environment of an intensive care unit,"Background: There is a growing body of research that identifies sound levels in an intensive care unit to be higher than current recommendations; although the quality and reproducibility of these studies has been questioned. Noise is generated by the multiplicity of supportive equipment necessary for patient management and by the staff who provide or enable care. Patients remember noise as a prominent and sometimes distressing feature of their intensive care admission. There is currently no study that provides a robust description of the sources of noise in an intensive care unit. Therefore, the aim of this study was to identify the sources of sound and their relative contribution to the sound environment of an intensive care unit.Methods: Fifty hours of observational data were collected over a month, using a datasheet designed and piloted for this purpose. Data was collected at four bed spaces, providing equal representation across each bed space, hour of the day and day of the week. A priori, five categories of sound were identified, communication, clinical tasks, housekeeping tasks, alarms and miscellaneous; 55 individual sources of sound were reported under these categories. Concurrently, continuous sound pressure levels were monitored at each bed space.Results: 16,784 episodes of sound were identified during the 50hrs of data collection; the greatest number of episodes were reported in the communication category n = 5699 (34%), with clinical tasks n = 3282 (20%), housekeeping tasks n = 3247 (19%), alarms n = 2939 (18%) and miscellaneous n = 1617 (10%). The highest number of episodes for an individual sound source was nurse/nurse communication n = 1595 (10%), followed by bin lids n = 1004 (6%) and oxygen/nebulisers n = 945 (6%). Of the 55 sources recorded, the top 25 accounted for 86% of the episodes. The average SPL (L-Aeq50hrs) across all bed-spaces during this study was 65.1 dB (SD 3.98) with little variation between day (66.3 dB; SD 3.37) and night time (62.7 dB; SD 3.81), The four bed spaces demonstrated difference in average L-Aeq, with the nosiest being the single room (L(Aeq12hrs)69.1 dB, SD 1.98); and the quietest bed space 5 in an open bay (L(Aeq13hrs)59.8 dB, SD 2.49).Conclusion: Concurrent observational and quantitative data collection enabled detailed analysis of the sound environment. The results provide greater clarity than previous study, into the individual sound sources and their relative contribution to the noise environment of an intensive care unit. This information will help identify which sources of sound are most amenable to modification. There is a need for further study to understand the perception of noise in an intensive care unit, by its main users; the patients, staff and visitors. Current SPL guidance appears unachievable without a change in ambient sound levels. (c) 2021 Published by Elsevier Ltd.",0
Self-reported reasons for on-duty sleepiness among commercial airline pilots,"Experimental and epidemiological research has shown that human sleepiness is determined especially by the circadian and homeostatic processes. The present field study examined which work-related factors airline pilots perceive as causing on-duty sleepiness during short-haul and long-haul flights. In addition, the association between the perceived reasons for sleepiness and actual sleepiness levels was examined, as well as the association between reporting inadequate sleep causing sleepiness and actual sleep-wake history. The study sample consisted of 29 long-haul (LH) pilots, 28 short-haul (SH) pilots, and 29 mixed fleet pilots (flying both SH and LH flights), each of whom participated in a 2-month field measurement period, yielding a total of 765 SH and 494 LH flight duty periods (FDPs) for analyses (FDP, a period between the start of a duty and the end of the last flight of that duty). The self-reports of sleepiness inducers were collected at the end of each FDP by an electronic select menu. On-duty sleepiness was rated at each flight phase by the Karolinska Sleepiness Scale (KSS). The sleep-wake data was collected by a diary and actigraph. The results showed that FDP timing and inadequate sleep were the most frequently reported reasons for on-duty sleepiness out of the seven options provided, regardless of FDP type (SH, LH). Reporting these reasons significantly increased the odds of increased on-duty sleepiness (KSS >= 7), except for reporting inadequate sleep during LH FDPs. Reporting inadequate sleep was also associated with increased odds of a reduced sleep-wake ratio (total sleep time/amount of wakefulness <= 0.33). Both FDP timing and inadequate sleep were most frequently reported during early morning and night FDPs, whereas the other options showed no such phenomenon. The present study suggests that airline pilots' perceptions of work-related factors that make them sleepy at work are in line with the previous experimental and epidemiological studies of sleepiness regulation.",0
Sleep extension is a feasible lifestyle intervention in free-living adults who are habitually short sleepers: a potential strategy for decreasing intake of free sugars? A randomized controlled pilot study,"Background: Evidence suggests that short sleep duration may be a newly identified modifiable risk factor for obesity, yet there is a paucity of studies to investigate this.Objective: We assessed the feasibility of a personalized sleep extension protocol in adults aged 18-64 ywho are habitually short sleepers (5 to< 7 h), with sleep primarily measured by wrist actigraphy. In addition, we collected pilot data to assess the effects of extended sleep on dietary intake and quality measured by 7-d food diaries, resting and total energy expenditure, physical activity, and markers of cardiometabolic health.Design: Forty-two normal-weight healthy participants who were habitually short sleepers completed this free-living, 4-wk, paralleldesign randomized controlled trial. The sleep extension group (n = 21) received a behavioral consultation session targeting sleep hygiene. The control group (n = 21) maintained habitual short sleep.Results: Rates of participation, attrition, and compliance were 100%, 6.5%, and 85.7%, respectively. The sleep extension group significantly increased time in bed [0: 55 hours: minutes (h: mm); 95% CI: 0: 37, 1: 12 h: mm], sleep period (0: 47 h: mm; 95% CI: 0: 29, 1: 05 h: mm), and sleep duration (0: 21 h: mm; 95% CI: 0: 06, 0: 36 h: mm) compared with the control group. Sleep extension led to reduced intake of free sugars (-9.6 g; 95% CI:-16.0,-3.1 g) compared with control (0.7 g; 95% CI:-5.7, 7.2 g) (P = 0.042). A sensitivity analysis in plausible reporters showed that the sleep extension group reduced intakes of fat (percentage), carbohydrates (grams), and free sugars (grams) in comparison to the control group. There were no significant differences between groups in markers of energy balance or cardiometabolic health.Conclusions: We showed the feasibility of extending sleep in adult short sleepers. Sleep extension led to reduced free sugar intakes and may be a viable strategy to facilitate limiting excessive consumption of free sugars in an obesity-promoting environment.",0
Workshop for designing biofeedback of driver's state and emotion in automated vehicles,"Different drivers' states and emotions can affect negatively the driving performance. Recent advances in affective computing now give the opportunity to measure the users' state or emotions using various sources of data such as physiological signals or voice samples. Conveying biofeedback in the car could help to make roads safer and improve users' health and mental state during a ride in an autonomous car. This workshop aims at selecting the drivers' hazardous states and emotions that are crucial to be assessed, as well as how to convey the appropriate biofeedback to the driver, using multimodal interaction in the car.",0
Comparison of concurrent cognitive load measures during n-back tasks,"The cognitive load experienced by humans is an important factor affecting their performance. Cognitive overload or underload may result in suboptimal human performance and may compromise safety in emerging human -inthe -loop systems. In driving, cognitive overload, due to various secondary tasks, such as texting, results in driver distraction. On the other hand, cognitive underload may result in fatigue. In automated manufacturing systems, a distracted operator may be prone to muscle injuries. Similar outcomes are possible in many other fields of human performance such as aviation, healthcare, and learning environments. The challenge with such human -centred applications is that the cognitive load is not directly measurable. Only the change in cognitive load is measured indirectly through various physiological, behavioural, performance -based and subjective means. A method to objectively assess the performance of such diverse measures of cognitive load is lacking in the literature. In this paper, a performance metric for the comparison of different measures to determine the cognitive workload is proposed in terms of the signal-to-noise ratio. Using this performance metric, several measures of cognitive load, that fall under the four broad groups were compared on the same scale for their ability to measure changes in cognitive load. Using the proposed metrics, the cognitive load measures were compared based on data collected from 28 participants while they underwent ������-back tasks of varying difficulty. The results show that the proposed performance evaluation method can be useful to individually assess different measures of cognitive load.",0
